path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_34_QF_UFDTBV.smt2,UNSAT,24,18540,UNSAT,19,18560
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_57_QF_UFDTBV.smt2,UNSAT,225,36860,UNSAT,268,73590
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_6_QF_UFDTBV.smt2,SAT,210,40870,SAT,329,76250
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_47_QF_UFDTBV.smt2,SAT,758,83520,SAT,782,124560
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_55_QF_UFDTBV.smt2,UNSAT,814,32409,ERROR,254,-1
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFDTBV.smt2,SAT,1199,133380,SAT,1256,176080
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_48_QF_UFDTBV.smt2,SAT,1581,136250,SAT,1813,179390
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_58_QF_UFDTBV.smt2,SAT,1694,141630,SAT,2147,188920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_76_QF_UFDTBV.smt2,UNKNOWN,10019,382050,UNKNOWN,10017,70570
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFDTBV.smt2,UNKNOWN,10027,299090,UNKNOWN,10024,360230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFDTBV.smt2,UNKNOWN,10022,389310,UNKNOWN,10027,501230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_17_QF_UFDTBV.smt2,UNKNOWN,10033,465390,UNKNOWN,10022,543230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_14_QF_UFDTBV.smt2,UNKNOWN,10032,415160,UNKNOWN,10027,476190
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_39_QF_UFDTBV.smt2,UNKNOWN,10028,587420,UNKNOWN,10033,688730
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFDTBV.smt2,UNKNOWN,10026,273820,UNKNOWN,10035,332440
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/63058_55d6bef5390186355f11_26_QF_UFDTBV.smt2,UNKNOWN,10038,942490,UNKNOWN,10028,1362610
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFDTBV.smt2,UNKNOWN,10040,537250,UNKNOWN,10026,616550
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_23_QF_UFDTBV.smt2,UNKNOWN,10040,475710,UNKNOWN,10030,627720
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_24_QF_UFDTBV.smt2,UNKNOWN,10041,479630,UNKNOWN,10030,707080
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/30078_f817a923328f75af7e60_28_QF_UFDTBV.smt2,UNKNOWN,10049,1887720,UNKNOWN,10031,3791070
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_46_QF_UFDTBV.smt2,UNKNOWN,10047,734590,UNKNOWN,10039,812860
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/93493_27ab26d56d60426da02e50231269b6ff_51_QF_UFDTBV.smt2,UNKNOWN,10053,1899910,UNKNOWN,10032,1984800
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_44_QF_UFDTBV.smt2,UNKNOWN,10056,1242170,UNKNOWN,10036,1242190
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/30078_f817a923328f75af7e60_27_QF_UFDTBV.smt2,UNKNOWN,10060,1888270,UNKNOWN,10032,1888290
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_62_QF_UFDTBV.smt2,UNKNOWN,10067,1961130,UNKNOWN,10040,1961150
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_74_QF_UFDTBV.smt2,UNKNOWN,10068,3877330,UNKNOWN,10043,3877350
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFDTBV.smt2,UNKNOWN,10068,3648270,UNKNOWN,10052,3648300
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_32_QF_UFDTBV.smt2,UNKNOWN,10071,3880940,UNKNOWN,10053,3880960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_65_QF_UFDTBV.smt2,UNKNOWN,10073,3663410,UNKNOWN,10051,3663440
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_1_UFDTBV.smt2,UNKNOWN,10071,3662950,UNKNOWN,10049,3662970
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_11_QF_UFDTBV.smt2,UNKNOWN,10081,3737930,UNKNOWN,10049,3737950
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFDTBV.smt2,UNKNOWN,10064,3651930,UNKNOWN,10068,3651950
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFDTBV.smt2,UNKNOWN,10076,3649980,UNKNOWN,10055,3650000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFDTBV.smt2,UNKNOWN,10068,3791210,UNKNOWN,10061,3791230
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/93493_4ea6163ed03941199c785278ccc42812_49_QF_UFDTBV.smt2,UNKNOWN,10082,3716410,UNKNOWN,10052,3716440
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_4_UFDTBV.smt2,UNKNOWN,10081,4113250,UNKNOWN,10056,4113270
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_29_QF_UFDTBV.smt2,UNKNOWN,10083,3838470,UNKNOWN,10053,3838500
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_30_QF_UFDTBV.smt2,UNKNOWN,10084,3809140,UNKNOWN,10053,3809160
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_72_QF_UFDTBV.smt2,UNKNOWN,10078,3784390,UNKNOWN,10057,3784420
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_3_UFDTBV.smt2,UNKNOWN,10078,3768570,UNKNOWN,10058,3768600
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_43_QF_UFDTBV.smt2,UNKNOWN,10072,3636810,UNKNOWN,10069,3636840
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFDTBV.smt2,UNKNOWN,10081,3831650,UNKNOWN,10055,3831670
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/72658_63104dadde9c6026353f_71_QF_UFDTBV.smt2,UNKNOWN,10082,3792120,UNKNOWN,10061,3792150
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_2_UFDTBV.smt2,UNKNOWN,10081,4014710,UNKNOWN,10062,4014730
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/38347_525a1ca0331f2bcbf520_54_QF_UFDTBV.smt2,UNKNOWN,10087,3773550,UNKNOWN,10059,3773570
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_33_QF_UFDTBV.smt2,UNKNOWN,10067,3599680,UNKNOWN,10052,3599700
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFDTBV.smt2,UNKNOWN,10068,3648380,UNKNOWN,10054,3648400
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/93493_5990a6bf5f2740164f77_50_QF_UFDTBV.smt2,UNKNOWN,10083,3729080,UNKNOWN,10061,3729090
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_12_QF_UFDTBV.smt2,UNKNOWN,10083,3757650,UNKNOWN,10063,3757670
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_75_QF_UFDTBV.smt2,UNKNOWN,10080,3877670,UNKNOWN,10068,1873960
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_21_QF_UFDTBV.smt2,UNKNOWN,10094,3568290,UNKNOWN,10057,3568320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_67_QF_UFDTBV.smt2,UNKNOWN,10084,3665490,UNKNOWN,10069,3665510
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/3106_afb7bc55417e43d7a22790c3576f04fc_37_QF_UFDTBV.smt2,UNKNOWN,10081,4054880,UNKNOWN,10067,4054910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_31_QF_UFDTBV.smt2,UNKNOWN,10091,3895540,UNKNOWN,10060,3895560
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_5_QF_UFDTBV.smt2,UNKNOWN,10092,3484120,UNKNOWN,10062,3484140
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFDTBV.smt2,UNKNOWN,10068,3834910,UNKNOWN,10062,3834940
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_0_UFDTBV.smt2,UNKNOWN,10093,3838600,UNKNOWN,10065,2065320
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_10_QF_UFDTBV.smt2,UNKNOWN,10090,3790110,UNKNOWN,10066,3790130
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFDTBV.smt2,UNKNOWN,10093,3652000,UNKNOWN,10066,3652030
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/72658_63104dadde9c6026353f_70_QF_UFDTBV.smt2,UNKNOWN,10070,3779980,UNKNOWN,10064,3780000
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/93493_798593962ee29ad45ac8_52_QF_UFDTBV.smt2,UNKNOWN,10097,4305300,UNKNOWN,10064,2251670
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_13_QF_UFDTBV.smt2,UNKNOWN,10093,3503040,UNKNOWN,10069,3503060
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_73_QF_UFDTBV.smt2,UNKNOWN,10098,4464150,UNKNOWN,10067,2475690
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_61_QF_UFDTBV.smt2,UNKNOWN,10096,7324440,UNKNOWN,10070,7324460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFDTBV.smt2,UNKNOWN,10102,4333170,UNKNOWN,10077,4333200
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_60_QF_UFDTBV.smt2,UNKNOWN,10043,319550,UNKNOWN,10022,378920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_40_QF_UFDTBV.smt2,SAT,414,74770,SAT,464,115530
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_63_QF_UFDTBV.smt2,UNKNOWN,10068,3625490,UNKNOWN,10050,3625510
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44289_b077fc096b3d41cba49f8628caff7fa5_16_QF_UFDTBV.smt2,UNKNOWN,10102,3742440,UNKNOWN,10065,3742460
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_45_QF_UFDTBV.smt2,UNKNOWN,10079,756340,UNKNOWN,10045,836410
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_68_QF_UFDTBV.smt2,UNKNOWN,10090,3655200,UNKNOWN,10076,3655220
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_38_QF_UFDTBV.smt2,UNKNOWN,10076,3863170,UNKNOWN,10070,3863190
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFDTBV.smt2,UNKNOWN,10033,635930,UNKNOWN,10025,765890
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_19_QF_UFDTBV.smt2,UNKNOWN,10058,3654610,UNKNOWN,10047,3654630
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_8_QF_UFDTBV.smt2,UNKNOWN,10059,3595520,UNKNOWN,10056,3595550
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFBVDT/20230314-Jaroslav-Bendik-Certora/93493_1fdb6cc8eb9c4363b5838af9eb8c7f1f_53_QF_UFDTBV.smt2,UNKNOWN,10074,7602700,UNKNOWN,10051,3559330
